Designator,Package,Mid X,Mid Y,Rotation,Layer,Comment
BZ1,Buzzer_Murata_PKLCS1212E,48.35mm,39.55mm,-90,T,PKLCS1212E2000-R1
C1,C_0402_1005Metric,6.22mm,21.14992mm,0,T,100nF
C2,C_0402_1005Metric,23.9mm,40.4mm,90,T,10uF
C3,C_0402_1005Metric,24.85mm,40.4mm,90,T,1uF
C4,C_0402_1005Metric,25.8mm,40.4mm,90,T,100nF
C5,C_0402_1005Metric,27.75mm,40.37mm,-90,T,100nF
C6,C_0402_1005Metric,37.85mm,36.7mm,0,T,100nF
C7,C_0402_1005Metric,37.85mm,35.75mm,0,T,1uF
C8,C_0402_1005Metric,27.55mm,34.2mm,180,T,100nF
C9,C_1206_3216Metric,2.85mm,28.4mm,90,T,100uF
C10,C_0402_1005Metric,29.92mm,44.4mm,0,T,1uF
C11,C_0402_1005Metric,29.92mm,43.45mm,0,T,10nF
C12,C_0402_1005Metric,44mm,30.3mm,180,T,1uF
C13,C_0402_1005Metric,9.12mm,13.94992mm,180,T,1nF
C14,C_1206_3216Metric,5.55mm,14.04992mm,180,T,100uF
C15,C_0402_1005Metric,34.52mm,43.55mm,0,T,100nF
C16,C_0402_1005Metric,41.85mm,28.8mm,-90,T,1uF
C17,C_0402_1005Metric,4.32mm,21.14992mm,180,T,100nF
C18,C_0402_1005Metric,9.6mm,15.36992mm,90,T,43pF
C19,C_0402_1005Metric,10.8mm,21.14992mm,0,T,1uF
C20,C_0402_1005Metric,3.8mm,19.94992mm,0,T,8.2nF
C21,C_0402_1005Metric,40.34mm,44.95mm,0,T,100nF
C22,C_0402_1005Metric,24.7mm,35.2125mm,0,T,10nF
C23,C_0402_1005Metric,24.7mm,34.2625mm,0,T,10uF
C24,C_0402_1005Metric,22.7mm,36.9225mm,-90,T,10nF
C25,C_0402_1005Metric,38.59mm,43mm,90,T,100nF
C26,C_1206_3216Metric,12.6mm,2mm,0,T,100uF
C27,C_0402_1005Metric,30.68mm,46.535mm,90,T,12pF
C28,C_0402_1005Metric,35.88mm,45.765mm,-90,T,12pF
C29,C_1206_3216Metric,19.4mm,2mm,0,T,100uF
C30,C_1206_3216Metric,26.2mm,2mm,0,T,100uF
C31,C_1206_3216Metric,33mm,2mm,0,T,100uF
C32,C_0402_1005Metric,6.1mm,15.74992mm,180,T,1uF
C33,C_0402_1005Metric,11.83mm,36.6mm,180,T,1uF
C34,C_0402_1005Metric,26.05mm,26.65mm,90,T,100nF
