Designator,Package,Mid X,Mid Y,Rotation,Layer,Comment
BZ1,Buzzer_Murata_PKLCS1212E,48.35,39.55,-90,T,PKLCS1212E2000-R1
C1,C_0402_1005Metric,6.22,21.14992,0,T,100nF
C2,C_0402_1005Metric,23.9,40.4,90,T,10uF
C3,C_0402_1005Metric,24.85,40.4,90,T,1uF
C4,C_0402_1005Metric,25.8,40.4,90,T,100nF
C5,C_0402_1005Metric,27.75,40.37,-90,T,100nF
C6,C_0402_1005Metric,37.85,36.7,0,T,100nF
C7,C_0402_1005Metric,37.85,35.75,0,T,1uF
C8,C_0402_1005Metric,27.55,34.2,180,T,100nF
C9,C_1206_3216Metric,2.85,28.4,90,T,100uF
C10,C_0402_1005Metric,29.92,44.4,0,T,1uF
C11,C_0402_1005Metric,29.92,43.45,0,T,10nF
C12,C_0402_1005Metric,44,30.3,180,T,1uF
C13,C_0402_1005Metric,9.12,13.94992,180,T,1nF
C14,C_1206_3216Metric,5.55,14.04992,180,T,100uF
C15,C_0402_1005Metric,34.52,43.55,0,T,100nF
C16,C_0402_1005Metric,41.85,28.8,-90,T,1uF
C17,C_0402_1005Metric,4.32,21.14992,180,T,100nF
C18,C_0402_1005Metric,9.6,15.36992,90,T,43pF
C19,C_0402_1005Metric,10.8,21.14992,0,T,1uF
C20,C_0402_1005Metric,3.8,19.94992,0,T,8.2nF
C21,C_0402_1005Metric,40.34,44.95,0,T,100nF
C22,C_0402_1005Metric,24.7,35.2125,0,T,10nF
C23,C_0402_1005Metric,24.7,34.2625,0,T,10uF
C24,C_0402_1005Metric,22.7,36.9225,-90,T,10nF
C25,C_0402_1005Metric,38.59,43,90,T,100nF
C26,C_1206_3216Metric,12.6,2,0,T,100uF
C27,C_0402_1005Metric,30.68,46.535,90,T,12pF
C28,C_0402_1005Metric,35.88,45.765,-90,T,12pF
C29,C_1206_3216Metric,19.4,2,0,T,100uF
C30,C_1206_3216Metric,26.2,2,0,T,100uF
C31,C_1206_3216Metric,33,2,0,T,100uF
C32,C_0402_1005Metric,6.1,15.74992,180,T,1uF
C33,C_0402_1005Metric,11.83,36.6,180,T,1uF
C34,C_0402_1005Metric,26.05,26.65,90,T,100nF
C35,C_0402_1005Metric,27.32,44,180,T,1.8nF
C36,C_0402_1005Metric,27.3,46.8,180,T,1.8nF
C37,C_0402_1005Metric,22.7,34.75,-90,T,15pF
D1,D_PowerDI-123,52.45,31.8,0,T,DFLS130L
D2,D_PowerDI-123,47.425,31.8,180,T,DFLS130L
